""
 
C:\Users\paigeplan\Documents\laser_settings_csv_maker\data\#6 PLS_660 Material Settings\ACRYLIC
 
0.06 (1.5mm)_Acrylic_bluefilm_08.16.22.las
0.125 (3mm)_BirchPly_08.15.22.las
PLS6.75,Mode,Power,Speed,PPI
Black,Skip,0.0,100.0,500
Red,Rast,50.0,100.0,500
Green,Vect,50.0,75.0,250
Yellow,Vect,25.0,75.0,250
Blue,Vect,10.0,75.0,250
Magenta,Vect,100.0,7.0,250
Cyan,Vect,100.0,7.0,250
Orange,Vect,100.0,7.0,250
 
0.25 (6.4mm) BirchPly_08.15.22.las
PLS6.75,Mode,Power,Speed,PPI
Black,Skip,0.0,100.0,500
Red,Rast,50.0,100.0,500
Green,Vect,50.0,75.0,250
Yellow,Vect,25.0,75.0,250
Blue,Vect,10.0,75.0,250
Magenta,Vect,100.0,3.5,250
Cyan,Vect,100.0,3.0,250
Orange,Vect,100.0,3.0,250
 
C:\Users\paigeplan\Documents\laser_settings_csv_maker\data\#6 PLS_660 Material Settings\Wood
